Transaction_Date,SKU,Unit_Qty_Sold
2021-01-01 17:04:00,BIO-LS-1GAL,1
2021-01-01 09:45:00,AQU-CT-1LB,1
2021-01-01 13:18:00,BIO-PS-1LB,3
2021-01-02 17:01:00,BIO-LS-1GAL,1
2021-01-02 12:40:00,CHL-PS-25LB,1
2021-01-03 12:12:00,BIO-PS-1LB,1
2021-01-03 09:33:00,BIO-PS-5LB,1
2021-01-04 11:41:00,CHL-CT-21LB,1
2021-01-04 12:15:00,BIO-PS-1LB,2
2021-01-05 14:56:00,BIO-PS-5LB,1
2021-01-05 17:23:00,BIO-CT-25LB,1
2021-01-06 11:58:00,BIO-LS-1GAL,1
2021-01-06 09:56:00,HTH-S-5LB,1
2021-01-07 08:43:00,BIO-CT-25LB,1
2021-01-07 18:54:00,CHL-MA-32OZ,1
2021-01-08 10:42:00,AQU-CT-1LB,2
2021-01-08 17:30:00,BIO-BA-32OZ,1
2021-01-09 15:07:00,CHL-CT-21LB,1
2021-01-09 18:41:00,BIO-PS-5LB,3
2021-01-09 09:20:00,CHL-CT-21LB,1
2021-01-10 08:26:00,BIO-PS-5LB,1
2021-01-10 10:43:00,HTH-CT-11LB,2
2021-01-11 17:07:00,CHL-CT-21LB,1
2021-01-11 18:59:00,BIO-PS-1LB,1
2021-01-12 15:38:00,CHL-MA-32OZ,2
2021-01-12 10:24:00,BIO-PS-1LB,2
2021-01-13 13:51:00,BIO-PS-17LB,1
2021-01-13 09:58:00,HTH-CT-11LB,1
2021-01-14 15:13:00,BIO-PS-1LB,1
2021-01-14 10:32:00,CHL-BA-32OZ,4
2021-01-15 09:53:00,CHL-MA-32OZ,1
2021-01-15 14:09:00,BIO-PS-1LB,1
2021-01-16 18:39:00,HTH-CA-32OZ,1
2021-01-16 09:47:00,HTH-MA-1GAL,1
2021-01-17 08:46:00,HTH-CT-11LB,3
2021-01-17 16:31:00,CHL-CT-21LB,1
2021-01-18 11:52:00,BIO-PS-1LB,3
2021-01-18 17:09:00,BIO-PS-1LB,1
2021-01-19 10:06:00,BIO-CT-25LB,1
2021-01-19 17:35:00,HTH-CT-11LB,3
