SKU,Product_Name,Category,Brand,Distributor,Unit_Size,Case_Qty,Case_Cost,Unit_Cost,Unit_Retail
BIO-PS-1LB,BioGuard Pool Shock (1lb),Pool Shock,BioGuard,Chemical Direct,1lb,50,179.88,3.6,6.97
BIO-PS-5LB,BioGuard Pool Shock (5lb),Pool Shock,BioGuard,AquaClear Wholesalers,5lb,6,83.24,13.87,29.01
BIO-PS-17LB,BioGuard Pool Shock (17lb),Pool Shock,BioGuard,Chemical Direct,17lb,1,47.15,47.15,97.11
CHL-PS-25LB,Chlorox Pool Shock (25lb),Pool Shock,Chlorox,PoolCorp Supply,25lb,1,63.86,63.86,122.34
BIO-LS-1GAL,BioGuard Liquid Shock (1gal),Liquid Shock,BioGuard,AquaClear Wholesalers,1gal,4,18.59,4.65,9.12
AQU-CT-1LB,AquaChem Chlorine Tablets (1lb),Chlorine Tablets,AquaChem,Chemical Direct,1lb,12,45.89,3.82,7.97
HTH-CT-11LB,HTH Chlorine Tablets (11lb),Chlorine Tablets,HTH,PoolCorp Supply,11lb,4,129.66,32.41,65.11
CHL-CT-21LB,Chlorox Chlorine Tablets (21lb),Chlorine Tablets,Chlorox,Chemical Direct,21lb,1,64.71,64.71,126.15
BIO-CT-25LB,BioGuard Chlorine Tablets (25lb),Chlorine Tablets,BioGuard,Chemical Direct,25lb,1,71.97,71.97,148.88
CHL-BA-32OZ,Chlorox Basic Algaecide (32oz),Basic Algaecide,Chlorox,AquaClear Wholesalers,32oz,12,92.97,7.75,15.3
HTH-CA-32OZ,HTH Copper Algaecide (32oz),Copper Algaecide,HTH,PoolCorp Supply,32oz,12,112.87,9.41,18.36
CHL-MA-32OZ,Chlorox Mustard Algaecide (32oz),Mustard Algaecide,Chlorox,PoolCorp Supply,32oz,12,128.17,10.68,20.36
BIO-BA-32OZ,BioGuard Black Algaecide (32oz),Black Algaecide,BioGuard,BioGuard Logistics,32oz,12,140.16,11.68,24.02
HTH-PU-2LB,HTH pH Up (2lb),pH Up,HTH,Chemical Direct,2lb,6,19.32,3.22,6.5
CHL-PU-5LB,Chlorox pH Up (5lb),pH Up,Chlorox,Chemical Direct,5lb,6,35.25,5.88,11.26
HTH-PD-2LB,HTH pH Down (2lb),pH Down,HTH,PoolCorp Supply,2lb,6,20.94,3.49,7.22
INT-PD-5LB,InTheSwim pH Down (5lb),pH Down,InTheSwim,AquaClear Wholesalers,5lb,6,39.71,6.62,13.15
HTH-MA-1GAL,HTH Muriatic Acid (1gal),Muriatic Acid,HTH,BioGuard Logistics,1gal,4,24.53,6.13,11.69
BIO-S-1LB,BioGuard Stabilizer/Conditioner (1lb),Stabilizer/Conditioner,BioGuard,PoolCorp Supply,1lb,12,67.71,5.64,10.86
HTH-S-5LB,HTH Stabilizer/Conditioner (5lb),Stabilizer/Conditioner,HTH,Chemical Direct,5lb,6,82.68,13.78,28.4
AQU-AI-5LB,AquaChem Alkalinity Increaser (5lb),Alkalinity Increaser,AquaChem,PoolCorp Supply,5lb,6,44.01,7.33,14.27
INT-AI-11LB,InTheSwim Alkalinity Increaser (11lb),Alkalinity Increaser,InTheSwim,BioGuard Logistics,11lb,4,58.85,14.71,28.97
CHL-AI-25LB,Chlorox Alkalinity Increaser (25lb),Alkalinity Increaser,Chlorox,AquaClear Wholesalers,25lb,1,35.53,35.53,67.91
BIO-CHI-7LB,BioGuard Calcium Hardness Increaser (7lb),Calcium Hardness Increaser,BioGuard,PoolCorp Supply,7lb,6,54.45,9.08,17.91
AQU-CHI-11LB,AquaChem Calcium Hardness Increaser (11lb),Calcium Hardness Increaser,AquaChem,PoolCorp Supply,11lb,6,82.28,13.71,26.71
AQU-CHI-20LB,AquaChem Calcium Hardness Increaser (20lb),Calcium Hardness Increaser,AquaChem,AquaClear Wholesalers,20lb,1,28.9,28.9,57.0
BIO-F-2LB,BioGuard Flocculant (2lb),Flocculant,BioGuard,Chemical Direct,2lb,12,74.09,6.17,11.96
